5101: started svm at C=0.1, size=red
5103: started svm at C=0.1, size=big
5104: started svm at C=1, size=red
5105: started svm at C=1, size=big
5106: started svm at C=10, size=red
5107: started svm at C=10, size=big
5108: started svm at C=100, size=red
5109: started svm at C=100, size=big
5110: started svm at C=1000, size=red
5111: started svm at C=1000, size=big
